region,icb,org_code,org_name,avg_daily_nctr,avg_daily_discharged,avg_daily_not_discharged,total_nctr,total_discharged,total_not_discharged,reporting_days,nctr_not_discharged_rate,nctr_discharged_rate
SOUTH WEST,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,167.8876712328767,82.14246575342466,85.74520547945205,61279.0,29982.0,31297.0,365,51.072961373390555,48.927038626609445
SOUTH WEST,NHS DEVON INTEGRATED CARE BOARD,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,285.8027397260274,140.04931506849314,145.75342465753425,104318.0,51118.0,53200.0,365,50.997910236009126,49.002089763990874
MIDLANDS,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,RLQ,WYE VALLEY NHS TRUST,84.33698630136986,41.654794520547945,42.68219178082192,30783.0,15204.0,15579.0,365,50.609102426664066,49.390897573335934
MIDLANDS,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,226.2164383561644,112.46575342465754,113.75068493150685,82569.0,41050.0,41519.0,365,50.284004892877476,49.71599510712253
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,169.24383561643836,84.83561643835617,84.40821917808219,61774.0,30965.0,30809.0,365,49.87373328584842,50.126266714151576
MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,85.4876712328767,42.863013698630134,42.62465753424657,31203.0,15645.0,15558.0,365,49.860590327853096,50.139409672146904
EAST OF ENGLAND,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,94.65753424657534,47.487671232876714,47.16986301369863,34550.0,17333.0,17217.0,365,49.832127351664255,50.167872648335745
NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RCF,AIREDALE NHS FOUNDATION TRUST,107.04931506849314,53.73150684931507,53.31780821917808,39073.0,19612.0,19461.0,365,49.80677193970261,50.19322806029739
NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,120.81369863013698,61.43835616438356,59.37534246575343,44097.0,22425.0,21672.0,365,49.1462004217974,50.8537995782026
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,RWJ,STOCKPORT NHS FOUNDATION TRUST,138.43287671232878,70.88767123287671,67.54520547945205,50528.0,25874.0,24654.0,365,48.792748575047504,51.2072514249525
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,95.02465753424657,49.37808219178082,45.64657534246575,34684.0,18023.0,16661.0,365,48.03655864375504,51.96344135624496
NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,98.83835616438355,51.45753424657534,47.38082191780822,36076.0,18782.0,17294.0,365,47.937687105000556,52.062312894999444
SOUTH WEST,NHS DEVON INTEGRATED CARE BOARD,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,222.3582089552239,117.55820895522388,104.8,74490.0,39382.0,35108.0,335,47.13115854477111,52.86884145522889
EAST OF ENGLAND,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,221.47397260273974,118.11780821917809,103.35616438356165,80838.0,43113.0,37725.0,365,46.66740889185779,53.33259110814221
EAST OF ENGLAND,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,123.32054794520548,67.62465753424658,55.6958904109589,45012.0,24683.0,20329.0,365,45.16351195236826,54.83648804763174
MIDLANDS,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,312.76164383561644,171.7972602739726,140.96438356164384,114158.0,62706.0,51452.0,365,45.07086669353002,54.92913330646998
NORTH WEST,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,181.93972602739726,100.27123287671233,81.66849315068494,66408.0,36599.0,29809.0,365,44.88766413685098,55.11233586314902
